ReadDDT,FindSuitableComponents,AnalyzingAssemblies,TotalTime
0.984,3.641,3391.734,3396.500
0.953,3.594,3388.562,3393.234
0.954,3.437,3382.625,3387.141
0.969,3.656,3387.391,3392.141
0.984,3.406,3396.641,3401.156
0.969,3.625,3386.922,3391.641
1.000,3.468,3388.469,3393.078
0.937,3.438,3393.484,3398.000
0.984,3.594,3393.797,3398.500
0.984,3.578,3390.828,3395.515
0.953,3.407,3388.015,3392.516
1.031,3.453,3397.719,3402.328
